A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
1.0,25.0,12.33,2.0,8.0,4.0,2.5,1.0,1.0,6.0,0.0,2.0,200.0,568.0,1.0
1.0,33.67,1.25,1.0,4.0,4.0,1.165,0.0,0.0,0.0,0.0,1.0,180.0,1.0,0.0
1.0,29.75,0.75,2.0,9.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,300.0,1.0,0.0
1.0,31.57,5.085,1.0,3.0,5.0,0.04,0.0,0.0,0.0,0.0,2.0,212.0,131.0,0.0
1.0,45.33,6.5,2.0,8.0,4.0,0.75,1.0,1.0,7.0,0.0,2.0,0.0,1201.0,1.0
1.0,22.42,8.585,1.0,3.0,4.0,0.5,1.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0
0.0,20.67,2.0,1.0,8.0,4.0,1.75,1.0,1.0,2.0,0.0,2.0,140.0,16.0,1.0
1.0,44.17,1.5,2.0,8.0,4.0,2.5,1.0,0.0,0.0,1.0,1.0,400.0,1.0,0.0
1.0,40.92,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,130.0,1.0,0.0
1.0,36.17,5.085,2.0,8.0,4.0,0.29,0.0,0.0,0.0,1.0,2.0,640.0,4001.0,0.0
1.0,20.42,0.0,2.0,8.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1.0,40.58,3.29,2.0,7.0,4.0,3.5,0.0,0.0,0.0,1.0,1.0,400.0,1.0,0.0
0.0,21.83,0.54,1.0,6.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
0.0,23.5,1.5,2.0,8.0,4.0,0.875,1.0,0.0,0.0,0.0,2.0,140.0,1.0,0.0
1.0,23.58,0.835,2.0,9.0,4.0,0.835,1.0,0.0,0.0,0.0,2.0,300.0,1.0,1.0
1.0,25.17,1.5,2.0,14.0,4.0,0.875,1.0,0.0,0.0,1.0,2.0,360.0,1.0,1.0
1.0,16.0,4.0,2.0,14.0,8.0,0.165,1.0,0.0,0.0,0.0,2.0,160.0,1.0,0.0
1.0,20.67,0.0,2.0,8.0,4.0,0.835,1.0,0.0,0.0,0.0,1.0,240.0,1.0,1.0
0.0,28.25,25.125,2.0,13.0,8.0,1.625,1.0,1.0,3.0,1.0,2.0,515.0,501.0,1.0
1.0,26.17,2.0,2.0,3.0,5.0,0.25,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
0.0,59.67,1.54,2.0,11.0,4.0,0.125,1.0,0.0,0.0,1.0,2.0,260.0,1.0,1.0
0.0,23.42,0.705,2.0,11.0,4.0,0.25,1.0,1.0,11.0,1.0,2.0,100.0,7.0,1.0
1.0,43.08,2.79,2.0,7.0,4.0,0.29,0.0,1.0,2.0,1.0,2.0,400.0,1.0,0.0
1.0,41.17,1.25,2.0,6.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,196.0,0.0
1.0,46.67,0.46,2.0,8.0,4.0,0.415,1.0,1.0,1.0,0.0,2.0,92.0,8001.0,1.0
1.0,16.92,0.21,2.0,6.0,4.0,0.125,0.0,0.0,0.0,1.0,2.0,132.0,2.0,0.0
1.0,27.67,0.75,2.0,11.0,8.0,0.165,0.0,0.0,0.0,1.0,2.0,220.0,252.0,0.0
1.0,27.67,0.75,1.0,4.0,8.0,0.165,0.0,0.0,0.0,0.0,2.0,220.0,252.0,0.0
0.0,25.17,13.5,2.0,8.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,20.0,1.0,1.0
1.0,34.04,0.04,2.0,14.0,5.0,0.04,1.0,1.0,1.0,1.0,2.0,348.0,2001.0,1.0
1.0,41.42,4.0,2.0,13.0,4.0,5.0,1.0,1.0,6.0,1.0,2.0,470.0,1.0,1.0
0.0,51.58,0.29,2.0,2.0,5.0,15.0,1.0,1.0,20.0,0.0,2.0,0.0,1.0,1.0
0.0,21.58,0.665,2.0,6.0,4.0,0.665,0.0,1.0,1.0,0.0,2.0,180.0,2.0,0.0
0.0,23.5,11.5,2.0,14.0,4.0,3.0,1.0,1.0,1.0,0.0,2.0,300.0,731.0,1.0
1.0,35.58,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,100.0,1.0,0.0
1.0,33.17,1.75,1.0,8.0,4.0,0.25,1.0,1.0,3.0,1.0,2.0,180.0,1.0,1.0
0.0,65.17,3.0,2.0,10.0,4.0,0.04,1.0,0.0,0.0,1.0,2.0,0.0,1401.0,1.0
0.0,32.33,0.04,2.0,11.0,8.0,0.04,1.0,0.0,0.0,0.0,2.0,440.0,11178.0,1.0
1.0,29.67,1.415,2.0,9.0,8.0,0.75,1.0,1.0,1.0,0.0,2.0,240.0,101.0,1.0
0.0,24.58,0.915,2.0,11.0,4.0,0.75,1.0,1.0,7.0,0.0,2.0,0.0,1584.0,1.0
1.0,34.08,0.08,1.0,7.0,5.0,0.04,1.0,1.0,1.0,1.0,2.0,280.0,2001.0,1.0
1.0,26.17,1.5,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,1.0,0.0
1.0,24.58,1.25,2.0,8.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,120.0,1.0,0.0
0.0,28.83,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,176.0,1.0,0.0
1.0,22.17,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,144.0,1.0,0.0
0.0,34.83,1.25,1.0,3.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,40.0,1.0,0.0
0.0,40.58,1.835,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,550.0,1.0,0.0
1.0,30.83,3.25,2.0,9.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,330.0,640.0,1.0
1.0,28.58,10.915,1.0,8.0,4.0,0.585,0.0,1.0,2.0,0.0,2.0,272.0,1333.0,0.0
1.0,21.17,0.75,1.0,8.0,8.0,0.25,0.0,0.0,0.0,0.0,2.0,180.0,1.0,0.0
1.0,41.58,0.29,2.0,7.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,168.0,1.0,0.0
0.0,29.75,0.665,2.0,9.0,4.0,0.165,0.0,0.0,0.0,1.0,2.0,300.0,1.0,0.0
1.0,24.17,12.75,2.0,8.0,4.0,2.5,1.0,1.0,6.0,1.0,2.0,290.0,285.0,1.0
1.0,23.25,3.25,2.0,8.0,4.0,2.25,1.0,0.0,0.0,0.0,1.0,60.0,1.0,1.0
0.0,21.67,0.5,2.0,4.0,4.0,0.165,1.0,1.0,3.0,1.0,2.0,100.0,1.0,1.0
1.0,34.83,2.5,2.0,13.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,480.0,1.0,0.0
0.0,33.17,2.75,2.0,11.0,8.0,4.25,1.0,1.0,6.0,0.0,2.0,300.0,1.0,1.0
1.0,19.5,0.29,1.0,4.0,4.0,0.29,0.0,0.0,0.0,0.0,2.0,140.0,365.0,0.0
1.0,22.5,11.5,1.0,7.0,4.0,0.5,1.0,0.0,0.0,1.0,2.0,0.0,4001.0,0.0
0.0,24.5,0.205,2.0,11.0,8.0,0.21,1.0,1.0,1.0,0.0,2.0,280.0,825.0,1.0
0.0,31.57,15.0,2.0,1.0,1.0,0.0,1.0,1.0,15.0,0.0,2.0,0.0,1.0,1.0
1.0,25.25,12.0,2.0,6.0,4.0,0.375,1.0,1.0,2.0,1.0,2.0,20.0,1.0,1.0
1.0,21.33,10.75,2.0,6.0,4.0,0.25,1.0,1.0,11.0,0.0,2.0,80.0,3.0,1.0
1.0,28.42,3.5,2.0,9.0,4.0,0.835,1.0,0.0,0.0,0.0,1.0,330.0,1.0,1.0
1.0,26.0,1.5,2.0,8.0,4.0,2.5,1.0,1.0,2.0,1.0,2.0,0.0,583.0,1.0
1.0,40.92,5.5,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,300.0,1.0,0.0
1.0,23.08,0.705,1.0,8.0,4.0,0.375,1.0,1.0,2.0,1.0,2.0,120.0,3.0,0.0
1.0,12.25,2.875,1.0,7.0,4.0,0.085,0.0,0.0,0.0,1.0,2.0,120.0,1.0,0.0
1.0,34.75,1.25,2.0,3.0,5.0,0.5,1.0,0.0,0.0,0.0,2.0,340.0,1.0,0.0
0.0,28.67,0.165,2.0,8.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,272.0,13213.0,0.0
0.0,29.42,0.25,1.0,9.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,15299.0,1.0
1.0,28.25,3.0,2.0,9.0,4.0,3.25,1.0,1.0,3.0,0.0,2.0,80.0,7.0,1.0
1.0,26.17,1.25,1.0,4.0,4.0,0.125,0.0,0.0,0.0,1.0,2.0,640.0,4001.0,0.0
0.0,21.5,2.0,2.0,6.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,160.0,6.0,1.0
1.0,31.83,3.0,2.0,2.0,4.0,1.085,1.0,0.0,0.0,1.0,2.0,560.0,1.0,0.0
1.0,26.17,1.125,2.0,11.0,4.0,1.25,1.0,0.0,0.0,1.0,2.0,0.0,7.0,1.0
0.0,32.0,4.0,2.0,2.0,4.0,1.75,0.0,1.0,2.0,1.0,2.0,232.0,1.0,0.0
1.0,30.17,1.25,2.0,9.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,99.0,0.0
1.0,18.08,5.5,2.0,4.0,4.0,0.5,1.0,0.0,0.0,0.0,1.0,80.0,1.0,0.0
1.0,23.33,13.335,2.0,14.0,8.0,3.335,1.0,1.0,11.0,0.0,2.0,120.0,459.0,1.0
0.0,31.57,0.625,2.0,2.0,4.0,0.625,0.0,0.0,0.0,1.0,2.0,0.0,2011.0,0.0
1.0,30.25,10.0,1.0,8.0,4.0,1.5,1.0,0.0,0.0,0.0,2.0,268.0,838.0,1.0
1.0,39.25,9.5,2.0,9.0,4.0,6.5,1.0,1.0,14.0,1.0,2.0,400.0,4608.0,1.0
1.0,20.42,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,0.0
0.0,19.0,1.25,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,2.0,96.0,5.0,0.0
1.0,18.5,2.0,2.0,8.0,5.0,1.0,1.0,1.0,4.0,0.0,2.0,140.0,301.0,1.0
1.0,31.83,0.085,1.0,7.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1.0,27.67,3.0,2.0,9.0,4.0,0.04,0.0,0.0,0.0,1.0,2.0,180.0,36.0,0.0
1.0,32.25,1.0,2.0,3.0,5.0,0.5,0.0,0.0,0.0,0.0,1.0,420.0,1.0,0.0
1.0,23.75,0.585,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,180.0,2.0,0.0
1.0,44.33,0.5,2.0,3.0,8.0,5.125,1.0,0.0,0.0,1.0,1.0,400.0,1.0,1.0
1.0,25.75,0.75,2.0,8.0,5.0,2.5,1.0,0.0,0.0,1.0,2.0,312.0,1.0,1.0
1.0,20.42,0.165,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,0.0
1.0,34.75,2.5,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,300.0,1.0,0.0
1.0,26.67,1.71,2.0,4.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,100.0,1.0,0.0
0.0,18.5,2.0,2.0,2.0,4.0,1.5,1.0,1.0,2.0,0.0,2.0,80.0,301.0,1.0
1.0,21.17,11.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,96.0,11.0,0.0
1.0,35.17,25.17,2.0,14.0,8.0,1.75,1.0,1.0,1.0,0.0,2.0,515.0,501.0,1.0
1.0,34.17,1.5,2.0,13.0,4.0,5.75,1.0,0.0,0.0,1.0,2.0,340.0,1.0,1.0
1.0,34.75,1.75,1.0,9.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0.0
0.0,30.17,5.5,2.0,4.0,4.0,5.5,1.0,1.0,12.0,1.0,2.0,32.0,1.0,1.0
1.0,18.83,3.0,2.0,8.0,8.0,1.29,1.0,1.0,1.0,1.0,2.0,100.0,10.0,1.0
1.0,33.25,0.5,2.0,3.0,5.0,0.5,1.0,1.0,3.0,1.0,2.0,300.0,1.0,1.0
0.0,28.92,4.0,2.0,6.0,4.0,0.25,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,24.0,1.54,2.0,11.0,4.0,1.085,1.0,1.0,4.0,0.0,2.0,120.0,7.0,1.0
1.0,20.42,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,0.0
1.0,34.17,2.75,2.0,8.0,5.0,2.5,1.0,0.0,0.0,0.0,2.0,232.0,201.0,0.0
0.0,22.92,0.665,2.0,11.0,4.0,0.25,0.0,1.0,1.0,0.0,2.0,220.0,6.0,0.0
0.0,30.08,5.04,2.0,8.0,4.0,1.54,1.0,1.0,1.0,0.0,2.0,0.0,2284.0,1.0
1.0,36.17,6.04,2.0,7.0,4.0,0.04,1.0,0.0,0.0,0.0,2.0,320.0,3553.0,1.0
1.0,31.42,1.5,1.0,6.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1.0,40.92,0.5,1.0,3.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,160.0,1.0,0.0
1.0,20.42,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,184.0,1.0,0.0
0.0,23.42,3.165,2.0,8.0,8.0,1.085,1.0,1.0,11.0,1.0,2.0,43.0,583.0,1.0
1.0,31.57,5.375,1.0,4.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0
1.0,32.08,4.0,1.0,7.0,4.0,2.5,1.0,0.0,0.0,1.0,2.0,360.0,1.0,0.0
0.0,19.67,0.165,2.0,11.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,80.0,1.0,1.0
0.0,47.25,0.75,2.0,11.0,8.0,1.75,1.0,1.0,1.0,1.0,2.0,333.0,893.0,1.0
0.0,22.75,0.585,2.0,3.0,5.0,0.085,0.0,0.0,0.0,0.0,2.0,144.0,1.0,0.0
1.0,19.67,2.5,2.0,11.0,8.0,2.17,1.0,1.0,17.0,1.0,2.0,250.0,1001.0,1.0
0.0,23.08,1.835,2.0,11.0,8.0,2.25,1.0,1.0,3.0,0.0,2.0,333.0,801.0,1.0
