Feature,Importance
class,1.0
amount,0.13123987816091617
age,0.10438617724004927
status,0.10311846367015437
duration,0.09582781523663435
purpose,0.0665808997429505
credit_history,0.061481203964736615
employment_duration,0.0559556338202502
savings,0.04901693747985017
property,0.04709104602345788
present_residence,0.04356322258231831
installment_rate,0.04261086159251806
personal_status_sex,0.033586034316911095
job,0.03232059045598804
housing,0.02862444175470659
other_installment_plans,0.026187897489958183
number_credits,0.020973234049517904
telephone,0.020619158481549417
other_debtors,0.018796372670843685
people_liable,0.01388572947418246
