status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,class
A12,20.0,A34,A42,2181.0,A65,A75,4.0,A93,A101,4.0,A122,36.0,A143,A152,2.0,A173,1.0,A191,1.0
A12,9.0,A32,A43,2118.0,A61,A73,2.0,A93,A101,2.0,A121,37.0,A143,A152,1.0,A172,2118.0,A191,1.0
A14,24.0,A34,A42,2028.0,A61,A74,2.0,A93,A101,3.0,A122,30.0,A143,A152,2.0,A172,1.0,A191,1.0
A14,24.0,A32,A43,1533.0,A61,A75,4.0,A93,A101,4.0,A123,38.0,A143,A152,1.0,A173,1.0,A192,1.0
A13,24.0,A32,A40,947.0,A61,A74,4.0,A93,A101,2.0,A124,27.0,A141,A153,1.0,A173,2.0,A191,2.0
A14,6.0,A32,A43,1595.0,A61,A75,3.0,A93,A101,4.0,A122,51.0,A143,A152,1.0,A173,2.0,A191,1.0
A11,36.0,A34,A46,6887.0,A61,A73,4.0,A93,A101,3.0,A887,29.0,A101,A152,1.0,A173,1.0,A192,2.0
A14,6.0,A33,A43,932.0,A61,A73,3.0,A92,A101,2.0,A121,24.0,A143,A152,1.0,A173,1.0,A191,1.0
A12,30.0,A32,A43,3496.0,A64,A73,4.0,A93,A101,2.0,A123,34.0,A142,A152,1.0,A173,2.0,A192,1.0
A12,18.0,A33,A42,6361.0,A61,A75,1.0,A93,A101,1.0,A124,41.0,A143,A152,1.0,A173,1.0,A192,1.0
A14,6.0,A34,A40,1264.0,A61,A75,2.0,A93,A101,4.0,A124,57.0,A143,A151,1.0,A173,1.0,A192,1.0
A12,30.0,A34,A42,3496.0,A65,A73,4.0,A93,A101,2.0,A123,33.0,A142,A152,2.0,A173,1.0,A192,1.0
A11,18.0,A34,A42,1049.0,A61,A72,4.0,A92,A101,4.0,A122,21.0,A143,A151,1.0,A173,1.0,A191,1.0
A14,12.0,A34,A40,1495.0,A61,A75,4.0,A93,A101,3.0,A121,38.0,A143,A152,2.0,A172,2.0,A191,1.0
A14,36.0,A32,A43,2394.0,A65,A73,4.0,A92,A101,4.0,A123,25.0,A143,A152,1.0,A173,1.0,A191,1.0
A12,15.0,A32,A43,2528.0,A61,A72,4.0,A92,A103,1.0,A121,32.0,A143,A152,1.0,A173,1.0,A192,1.0
A14,24.0,A33,A49,1412.0,A65,A74,4.0,A93,A103,2.0,A121,29.0,A143,A152,2.0,A174,1.0,A192,1.0
A14,15.0,A32,A43,1409.0,A62,A72,3.0,A94,A101,4.0,A122,23.0,A143,A151,1.0,A173,1.0,A192,1.0
A11,24.0,A32,A43,1282.0,A62,A75,3.0,A93,A101,4.0,A123,48.0,A143,A151,1.0,A172,1.0,A191,2.0
A14,21.0,A34,A41,3275.0,A65,A75,1.0,A93,A101,4.0,A122,36.0,A143,A152,1.0,A174,1.0,A191,1.0
A11,12.0,A34,A40,691.0,A61,A75,4.0,A93,A101,3.0,A122,35.0,A143,A152,2.0,A173,1.0,A191,2.0
A14,15.0,A34,A45,7596.0,A65,A75,1.0,A93,A101,4.0,A123,63.0,A143,A152,1.0,A173,1.0,A191,1.0
