Feature,Importance
target,1.0
PPE,0.14853486795659193
spread1,0.11195033872848863
MDVP:Fo(Hz),0.07995743750822606
MDVP:Flo(Hz),0.0568386091655816
spread2,0.05186415411015381
NHR,0.04910476943926825
D2,0.04132588934078438
MDVP:Fhi(Hz),0.0408087566115809
Jitter:DDP,0.040301830378039895
Shimmer:APQ5,0.03926253263020323
MDVP:Shimmer,0.03538282842999418
MDVP:APQ,0.03385709961393979
RPDE,0.03335782127819933
Shimmer:DDA,0.03231252680131798
Shimmer:APQ3,0.03086532915918799
MDVP:RAP,0.03074806630984977
MDVP:Jitter(Abs),0.030277769913749784
DFA,0.024762816589322605
